"","Time.S","Plate","Size"
"2651",48518.8,"D1",514340
"2652",49355.2,"D1",511374
"2653",50191.7,"D1",514058
"2654",51028.2,"D1",516179
"2655",51864.7,"D1",513450
"2656",52701.2,"D1",515502
"2657",53537.6,"D1",510998
"2658",54374.1,"D1",515996
"2659",55210.6,"D1",512816
"2660",56047.1,"D1",515857
"2661",56883.5,"D1",513070
"2662",57720,"D1",517521
"2663",58556.5,"D1",519282
"2664",59393,"D1",517485
"2665",0,"D2",29012
"2666",836.5,"D2",31586
"2667",1673,"D2",35603
"2668",2512.5,"D2",40351
"2669",3349,"D2",47010
"2670",4185.5,"D2",54554
"2671",5022,"D2",63394
"2672",5858.5,"D2",73144
"2673",6694.9,"D2",85693
"2674",7531.4,"D2",100152
"2675",8367.9,"D2",115994
"2676",9204.4,"D2",136884
"2677",10040.8,"D2",159634
"2678",10877.3,"D2",184086
"2679",11713.8,"D2",209915
"2680",12550.3,"D2",236618
"2681",13386.7,"D2",263441
"2682",14223.2,"D2",286838
"2683",15059.7,"D2",308719
"2684",15896.2,"D2",326764
"2685",16732.6,"D2",350722
"2686",17569.1,"D2",363123
"2687",18405.6,"D2",374877
"2688",19242.1,"D2",385442
"2689",20078.5,"D2",397522
"2690",20915,"D2",407016
"2691",21751.5,"D2",413961
"2692",22588,"D2",424789
"2693",23424.5,"D2",429088
"2694",24260.9,"D2",436082
"2695",25097.4,"D2",440031
"2696",25933.9,"D2",450050
"2697",26770.4,"D2",456717
"2698",27606.8,"D2",462264
"2699",28443.3,"D2",470391
"2700",29279.8,"D2",473005
"2701",30116.3,"D2",480430
"2702",30952.8,"D2",484197
"2703",31789.2,"D2",493084
"2704",32625.7,"D2",496442
"2705",33462.2,"D2",506051
"2706",34298.6,"D2",510384
"2707",35135.1,"D2",514109
"2708",35971.6,"D2",519494
"2709",36808.1,"D2",515845
"2710",37644.5,"D2",524425
